k,omega_theta,omega_words,omega,omega_se,max_cosine,mean_cosine,alpha,eta,config_label
30.0,0.39693894697342375,0.35179649688408476,0.3743677219287542,0.009228668497511933,0.17580307270225995,0.013974983549758766,0.05,0.005,"a=0.05, e=0.005"
30.0,0.43698834752951266,0.4102037170419738,0.4235960322857432,0.006800722000992728,0.1951777065325185,0.0147143014447846,0.05,0.01,"a=0.05, e=0.01"
30.0,0.4421336665988211,0.4238523927800409,0.432993029689431,0.0071323689572650555,0.15033590579627246,0.016192389032403845,0.05,0.05,"a=0.05, e=0.05"
30.0,0.3862138449300368,0.3522823812918059,0.3692481131109213,0.007009677290378993,0.22805226256987554,0.01732609453200474,0.05,0.1,"a=0.05, e=0.1"
30.0,0.4369611382764861,0.4104493941602599,0.423705266218373,0.009337730782086,0.1763692662874742,0.013576577400036377,0.1,0.005,"a=0.1, e=0.005"
30.0,0.39783996255936505,0.37398310987199407,0.38591153621567953,0.008512411253453483,0.18673370786567584,0.014448923198144743,0.1,0.01,"a=0.1, e=0.01"
30.0,0.3940034392858696,0.38526061340995293,0.3896320263479113,0.008502379101535496,0.24980046151215657,0.01676872045722249,0.1,0.05,"a=0.1, e=0.05"
30.0,0.43748623474067544,0.40445424655941825,0.42097024065004685,0.009285874199037952,0.23567570032294705,0.017858345658643176,0.1,0.1,"a=0.1, e=0.1"
30.0,0.41608350424261964,0.3772213643075895,0.39665243427510455,0.007715714431356038,0.14264511159703372,0.013795894006360285,0.3,0.005,"a=0.3, e=0.005"
30.0,0.42213725938544994,0.4041403004195237,0.4131387799024868,0.008050567699338256,0.17353290564019158,0.014602004077843119,0.3,0.01,"a=0.3, e=0.01"
30.0,0.41439051171760904,0.38658129514650474,0.4004859034320569,0.005944250421260109,0.21731771522993099,0.016564545800815584,0.3,0.05,"a=0.3, e=0.05"
30.0,0.404311654545074,0.35844881632659215,0.3813802354358331,0.007553654820126841,0.22550976382783366,0.017941578051659683,0.3,0.1,"a=0.3, e=0.1"
30.0,0.38711065232000663,0.3454440385797649,0.36627734544988577,0.00615016900839688,0.17070660824508455,0.014140337941421919,0.5,0.005,"a=0.5, e=0.005"
30.0,0.3760128652237813,0.3277918693763812,0.3519023673000813,0.008372232337891236,0.1809800705720469,0.014858431189461849,0.5,0.01,"a=0.5, e=0.01"
30.0,0.38802400698876,0.3556712809870911,0.3718476439879256,0.0060695871968966635,0.22315465797491812,0.016450427688781778,0.5,0.05,"a=0.5, e=0.05"
30.0,0.3663225664053403,0.32527321798747444,0.34579789219640733,0.005592678474486894,0.21130301930834192,0.017012897681777474,0.5,0.1,"a=0.5, e=0.1"
