eta,topic_id,top_n_words,cumulative_top_word_probability
0.005,0,10,0.2649772111326456
0.005,1,10,0.2834101729094982
0.005,2,10,0.3805870749056339
0.005,3,10,0.4455798752605915
0.005,4,10,0.4694683812558651
0.005,5,10,0.22387908399105072
0.005,6,10,0.4635708210989833
0.005,7,10,0.3576150592416525
0.005,8,10,0.30346511397510767
0.005,9,10,0.4012291859835386
0.005,10,10,0.5103067355230451
0.005,11,10,0.37138573080301285
0.005,12,10,0.4645393155515194
0.005,13,10,0.2879917612299323
0.005,14,10,0.4171774238348007
0.005,15,10,0.45569932274520397
0.005,16,10,0.3559371083974838
0.005,17,10,0.2584185991436243
0.005,18,10,0.2487693028524518
0.005,19,10,0.2652961928397417
0.005,20,10,0.38807746581733227
0.005,21,10,0.31696515530347824
0.005,22,10,0.31163893081247807
0.005,23,10,0.4528194321319461
0.005,24,10,0.43175953812897205
0.005,25,10,0.28874498046934605
0.005,26,10,0.20882407948374748
0.005,27,10,0.407082243822515
0.005,28,10,0.3799364771693945
0.005,29,10,0.4353087842464447
0.01,0,10,0.4299213234335184
0.01,1,10,0.29487249441444874
0.01,2,10,0.39429125376045704
0.01,3,10,0.44432943500578403
0.01,4,10,0.4715036628767848
0.01,5,10,0.22747879289090633
0.01,6,10,0.4881192483007908
0.01,7,10,0.369893996976316
0.01,8,10,0.2837547827512026
0.01,9,10,0.3529316931962967
0.01,10,10,0.36796749383211136
0.01,11,10,0.36831482499837875
0.01,12,10,0.47199212573468685
0.01,13,10,0.29099155589938164
0.01,14,10,0.4350286852568388
0.01,15,10,0.5720181446522474
0.01,16,10,0.2956238090991974
0.01,17,10,0.1463865777477622
0.01,18,10,0.21698516514152288
0.01,19,10,0.2632486131042242
0.01,20,10,0.30131877586245537
0.01,21,10,0.4726974107325077
0.01,22,10,0.3222687188535929
0.01,23,10,0.45706923492252827
0.01,24,10,0.36012108344584703
0.01,25,10,0.30752379447221756
0.01,26,10,0.2322674347087741
0.01,27,10,0.4309341600164771
0.01,28,10,0.3907354064285755
0.01,29,10,0.3776852861046791
0.05,0,10,0.2925446927547455
0.05,1,10,0.3482995955273509
0.05,2,10,0.3495573028922081
0.05,3,10,0.3613795293495059
0.05,4,10,0.41339235566556454
0.05,5,10,0.21967211551964283
0.05,6,10,0.4101728294044733
0.05,7,10,0.36672744434326887
0.05,8,10,0.26469293516129255
0.05,9,10,0.4194069094955921
0.05,10,10,0.49303062446415424
0.05,11,10,0.35973018780350685
0.05,12,10,0.44155249930918217
0.05,13,10,0.3047966929152608
0.05,14,10,0.41676715668290854
0.05,15,10,0.4129469618201256
0.05,16,10,0.32217051833868027
0.05,17,10,0.3249102309346199
0.05,18,10,0.2654554033651948
0.05,19,10,0.32121318206191063
0.05,20,10,0.35096977930516005
0.05,21,10,0.23394148889929056
0.05,22,10,0.2478767354041338
0.05,23,10,0.43850857112556696
0.05,24,10,0.28315702825784683
0.05,25,10,0.26813029684126377
0.05,26,10,0.2356796134263277
0.05,27,10,0.33558097295463085
0.05,28,10,0.48111806251108646
0.05,29,10,0.379620629362762
0.1,0,10,0.22930633928626776
0.1,1,10,0.3876444660127163
0.1,2,10,0.32599826715886593
0.1,3,10,0.39551809150725603
0.1,4,10,0.5053248014301062
0.1,5,10,0.27238827757537365
0.1,6,10,0.43849554378539324
0.1,7,10,0.41784367663785815
0.1,8,10,0.26414052676409483
0.1,9,10,0.2999068247154355
0.1,10,10,0.5083278529345989
0.1,11,10,0.34962587244808674
0.1,12,10,0.4556489884853363
0.1,13,10,0.2540086954832077
0.1,14,10,0.4029826773330569
0.1,15,10,0.5267658457159996
0.1,16,10,0.2972142333164811
0.1,17,10,0.3707779310643673
0.1,18,10,0.21497970260679722
0.1,19,10,0.2542690383270383
0.1,20,10,0.33451609034091234
0.1,21,10,0.38369181752204895
0.1,22,10,0.2832491612061858
0.1,23,10,0.3880304917693138
0.1,24,10,0.20465416088700294
0.1,25,10,0.2797540184110403
0.1,26,10,0.2688004784286022
0.1,27,10,0.3975060600787401
0.1,28,10,0.4970882246270776
0.1,29,10,0.34953287430107594
